SampleIndex,TargetViscosity_cP,GlycerolVolumeFraction,WeightFraction,Glycerol_mass_g,Water_mass_g,Density_kg_per_m3,DynamicViscosity_Pa_s,DynamicViscosity_Ns_per_m2,DynamicViscosity_cP,KinematicViscosity_m2_per_s,KinematicViscosity_cSt,SurfaceTension_N_per_m,Re_270rpm,Re_290rpm,Re_310rpm,Re_330rpm,Re_350rpm,Re_370rpm,Re_390rpm,Re_410rpm,Re_430rpm,Re_450rpm,We_270rpm,We_290rpm,We_310rpm,We_330rpm,We_350rpm,We_370rpm,We_390rpm,We_410rpm,We_430rpm,We_450rpm,Fr_270rpm,Fr_290rpm,Fr_310rpm,Fr_330rpm,Fr_350rpm,Fr_370rpm,Fr_390rpm,Fr_410rpm,Fr_430rpm,Fr_450rpm,Ca_270rpm,Ca_290rpm,Ca_310rpm,Ca_330rpm,Ca_350rpm,Ca_370rpm,Ca_390rpm,Ca_410rpm,Ca_430rpm,Ca_450rpm
1,0.892739320467,0,0,0,548.289637451,996.89024991,0.000892739320467,0.000892739320467,0.892739320467,8.95524176856e-07,0.895524176856,0.07197,8039.98394022,8635.53830616,9231.0926721,9826.64703805,10422.201404,11017.7557699,11613.3101359,12208.8645018,12804.4188678,13399.9732337,17.9515042918,20.7094857468,23.6644658772,26.8164446829,30.1654221639,33.7113983203,37.4543731521,41.3943466592,45.5313188417,49.8652896996,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.00223277862559,0.0023981696349,0.0025635606442,0.0027289516535,0.00289434266281,0.00305973367211,0.00322512468141,0.00339051569072,0.00355590670002,0.00372129770932
2,2.04945535575,0.244503547845,0.28997416995,171.065196993,418.86733742,1068.02285272,0.00204945535571,0.00204945535571,2.04945535571,1.91892462833e-06,1.91892462833,0.0697914733887,3752.10151233,4030.03495768,4307.96840304,4585.9018484,4863.83529376,5141.76873912,5419.70218447,5697.63562983,5975.56907519,6253.50252055,19.8327610799,22.8797696409,26.1444216705,29.6267171687,33.3266561356,37.2442385711,41.3794644753,45.7323338481,50.3028466896,55.0910029997,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.00528577412278,0.00567731294668,0.00606885177059,0.0064603905945,0.00685192941841,0.00724346824232,0.00763500706623,0.00802654589014,0.00841808471405,0.00880962353796
3,2.89157094744,0.327356055641,0.380475153481,229.399613781,373.529675248,1091.7480136,0.00289157094741,0.00289157094741,2.89157094741,2.64856991851e-06,2.64856991851,0.0690532575442,2718.44815184,2919.8146816,3121.18121137,3322.54774114,3523.9142709,3725.28080067,3926.64733043,4128.0138602,4329.38038997,4530.74691973,20.4900605119,23.6380533477,27.0109028147,30.6086089128,34.4311716421,38.4785910024,42.7508669939,47.2479996166,51.9699888703,56.9168347552,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.00753741081949,0.00809573754686,0.00865406427422,0.00921239100159,0.00977071772896,0.0103290444563,0.0108873711837,0.0114456979111,0.0120040246384,0.0125623513658
4,3.76569984208,0.385042918206,0.441380336538,269.981679595,341.69414111,1107.97919732,0.00376569984214,0.00376569984214,3.76569984214,3.39870987762e-06,3.39870987762,0.0685392675988,2118.45090027,2275.37318918,2432.29547809,2589.21776699,2746.1400559,2903.06234481,3059.98463372,3216.90692263,3373.82921154,3530.75150045,20.9506329734,24.1693859131,27.618049777,31.2966245652,35.2051102777,39.3435069144,43.7118144754,48.3100329606,53.1381623702,58.1962027039,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.0098896004485,0.0106221634447,0.0113547264409,0.0120872894371,0.0128198524332,0.0135524154294,0.0142849784256,0.0150175414218,0.015750104418,0.0164826674142
5,4.70492019218,0.430154659829,0.487856286987,301.66602526,316.684159634,1120.46958565,0.00470492019226,0.00470492019226,4.70492019226,4.19906104772e-06,4.19906104772,0.0681373219809,1714.66904581,1841.68156772,1968.69408964,2095.70661155,2222.71913346,2349.73165537,2476.74417728,2603.7566992,2730.76922111,2857.78174302,21.3117941942,24.5860341802,28.0941484508,31.8361370062,35.8119998463,40.021736971,44.4653483805,49.1428340747,54.0541940537,59.1994283173,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.0124291006747,0.0133497747988,0.0142704489228,0.0151911230469,0.0161117971709,0.017032471295,0.017953145419,0.0188738195431,0.0197944936671,0.0207151677912
6,5.7246962952,0.467477050872,0.525567687767,327.831191774,295.934689205,1130.65308933,0.00572469629512,0.00572469629512,5.72469629512,5.06317662697e-06,5.06317662697,0.0678047794767,1422.03216093,1527.36787655,1632.70359217,1738.0393078,1843.37502342,1948.71073905,2054.04645467,2159.38217029,2264.71788592,2370.05360154,21.6109603937,24.9311628136,28.4885225492,32.2830396005,36.3147139675,40.5835456502,45.0895346486,49.8326809627,54.8129845926,60.0304455381,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.0151972374378,0.0163229587294,0.0174486800211,0.0185744013128,0.0197001226045,0.0208258438962,0.0219515651879,0.0230772864796,0.0242030077712,0.0253287290629
7,6.83564203264,0.499422165543,0.557327896747,350.184127724,278.142804712,1139.25375759,0.00683564203256,0.00683564203256,6.83564203256,6.0001048818e-06,6.0001048818,0.067520148505,1199.97902401,1288.86635912,1377.75369423,1466.64102934,1555.52836445,1644.41569956,1733.30303468,1822.19036979,1911.0777049,1999.96504001,21.8671448824,25.2267062361,28.8262362579,32.6657349478,36.7452023059,41.064638332,45.6240430263,50.4234163887,55.4627584192,60.7420691179,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.0182229392723,0.0195727866258,0.0209226339793,0.0222724813328,0.0236223286863,0.0249721760398,0.0263220233933,0.0276718707468,0.0290217181003,0.0303715654538
8,8.04660753844,0.527399382434,0.584759601187,369.723831381,262.542540356,1146.69456853,0.00804660753847,0.00804660753847,8.04660753847,7.01721954501e-06,7.01721954501,0.0672708715025,1026.04741861,1102.0509311,1178.05444359,1254.05795608,1330.06146857,1406.06498106,1482.06849355,1558.07200604,1634.07551853,1710.07903102,22.0915253159,25.4855593836,29.1220244562,33.0009205336,37.1222476159,41.486005703,46.0921947949,50.9408148917,56.0318659933,61.3653480997,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.0215307060036,0.0231255731149,0.0247204402263,0.0263153073377,0.0279101744491,0.0295050415604,0.0310999086718,0.0326947757832,0.0342896428946,0.0358845100059
9,9.36576036519,0.552312531967,0.608891353488,387.091662071,248.640246181,1153.24633541,0.00936576036524,0.00936576036524,9.36576036524,8.12121406996e-06,8.12121406996,0.0670488953402,886.566951441,952.238577473,1017.91020351,1083.58182954,1149.25345557,1214.9250816,1280.59670764,1346.26833367,1411.9399597,1477.61158573,22.2913031319,25.7160300877,29.3853803975,33.2993540613,37.457951079,41.8611714508,46.5090151765,51.4014822562,56.5385726899,61.9202864776,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.0251433950879,0.0270058687981,0.0288683425083,0.0307308162185,0.0325932899287,0.0344557636389,0.0363182373492,0.0381807110594,0.0400431847696,0.0419056584798
10,10.801052071,0.574779882638,0.630419283524,402.726661042,236.096851447,1159.09381861,0.010801052071,0.010801052071,10.801052071,9.31853133679e-06,9.31853133679,0.0668487112457,772.65394511,829.887570673,887.121196237,944.354821801,1001.58844736,1058.82207293,1116.05569849,1173.28932406,1230.52294962,1287.75657518,22.471421826,25.9238213383,29.6228208159,33.5684202586,37.7606196664,42.1994190395,46.8848183777,51.816817681,56.9954169496,62.4206161833,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.0290834233983,0.0312377510574,0.0333920787165,0.0355464063757,0.0377007340348,0.0398550616939,0.0420093893531,0.0441637170122,0.0463180446713,0.0484723723305
